"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,74,"ETH","Ethiopia",1,"Addis Ababa","Kilil","Administrative State",NA,"Addis Ababa|Addis Abeba|Adis-Abeba|Adis Abeba"
2,74,"ETH","Ethiopia",2,"Afar","Kilil","Administrative State",NA,NA
3,74,"ETH","Ethiopia",3,"Amhara","Kilil","Administrative State",NA,"Amara"
4,74,"ETH","Ethiopia",4,"Benshangul-Gumaz","Kilil","Administrative State",NA,"Benishangul|Beni Shangul|Bénishangul|Benishangul-Gumuz|Binshangul Gumuz"
5,74,"ETH","Ethiopia",5,"Dire Dawa","Kilil","Administrative State",NA,NA
6,74,"ETH","Ethiopia",6,"Gambela Peoples","Kilil","Administrative State",NA,"Gambella|Gambela Hizboch"
7,74,"ETH","Ethiopia",7,"Harari People","Kilil","Administrative State",NA,"Harari|Harer|Hareri Hizb"
8,74,"ETH","Ethiopia",8,"Oromia","Kilil","Administrative State",NA,"Oromiya"
9,74,"ETH","Ethiopia",9,"Somali","Kilil","Administrative State",NA,"Sumale"
10,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples","Kilil","Administrative State",NA,"Southern Nations, Nationalities, and People's Region"
11,74,"ETH","Ethiopia",11,"Tigray","Kilil","Administrative State",NA,"Tegr?|Tigrai|Tigre|Tigr?|Tigré"
