id,genotype,accession,plot_id,year,region,zone,district,kebele,lon,lat,gy_gm,farmer_rank,planting_date,season,gy_gm_raw,plot_size
1,5684,5684,3,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18211111,8.949277778,218.75,2,2014-08-17,Meher-14,350,1.6
1,6891,6891,1,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18211111,8.949277778,273.125,1,2014-08-17,Meher-14,437,1.6
1,8175,8175,2,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18211111,8.949277778,216.875,3,2014-08-17,Meher-14,347,1.6
1,390ET_D,hitosa,4,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18211111,8.949277778,195,4,2014-08-17,Meher-14,312,1.6
2,208157,208157,3,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19208333,8.948416667,276.875,4,2014-07-27,Meher-14,443,1.6
2,208173,208173,2,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19208333,8.948416667,355.625,2,2014-07-27,Meher-14,569,1.6
2,5622,5622,1,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19208333,8.948416667,238.125,3,2014-07-27,Meher-14,381,1.6
2,390ET_D,hitosa,4,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19208333,8.948416667,195,1,2014-07-27,Meher-14,312,1.6
3,203940,203940,3,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17983333,8.951138889,325,2,2014-08-04,Meher-14,520,1.6
3,035ET_D,208190,1,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17983333,8.951138889,299.375,4,2014-08-04,Meher-14,479,1.6
3,222372,222372,2,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17983333,8.951138889,278.75,3,2014-08-04,Meher-14,446,1.6
3,390ET_D,hitosa,4,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17983333,8.951138889,248.125,1,2014-08-04,Meher-14,397,1.6
4,003ET_D,5588,2,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17716667,8.957694444,451.875,2,2014-07-27,Meher-14,723,1.6
4,005ET_D,5634,1,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17716667,8.957694444,467.5,4,2014-07-27,Meher-14,748,1.6
4,8034,8034,3,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17716667,8.957694444,455,1,2014-07-27,Meher-14,728,1.6
4,390ET_D,hitosa,4,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17716667,8.957694444,226.875,3,2014-07-27,Meher-14,363,1.6
7,226157,226157,2,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18152778,8.964388889,192.5,1,2014-08-04,Meher-14,308,1.6
7,226535,226535,3,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18152778,8.964388889,173.75,3,2014-08-04,Meher-14,278,1.6
7,5684,5684,1,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18152778,8.964388889,237.5,4,2014-08-04,Meher-14,380,1.6
7,390ET_D,hitosa,4,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18152778,8.964388889,168.125,2,2014-08-04,Meher-14,269,1.6
8,204936,204936,1,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19233333,8.94875,325.625,1,2014-07-29,Meher-14,521,1.6
8,208140,208140,2,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19233333,8.94875,277.5,4,2014-07-29,Meher-14,444,1.6
8,5622,5622,3,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19233333,8.94875,300,3,2014-07-29,Meher-14,480,1.6
8,390ET_D,hitosa,4,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19233333,8.94875,247.5,2,2014-07-29,Meher-14,396,1.6
9,208157,208157,2,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17905556,8.951,454.375,4,2014-08-14,Meher-14,727,1.6
9,208173,208173,1,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17905556,8.951,583.125,2,2014-08-14,Meher-14,933,1.6
9,035ET_D,208190,3,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17905556,8.951,608.125,3,2014-08-14,Meher-14,973,1.6
9,390ET_D,hitosa,4,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17905556,8.951,698.75,1,2014-08-14,Meher-14,1118,1.6
10,204936,204936,3,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19219444,8.947583333,338.75,3,2014-08-12,Meher-14,542,1.6
10,226157,226157,1,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19219444,8.947583333,583.125,4,2014-08-12,Meher-14,933,1.6
10,226535,226535,2,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19219444,8.947583333,347.5,1,2014-08-12,Meher-14,556,1.6
10,390ET_D,hitosa,4,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19219444,8.947583333,317.5,2,2014-08-12,Meher-14,508,1.6
11,208140,208140,1,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18972222,8.945361111,259.375,3,2014-08-19,Meher-14,415,1.6
11,208173,208173,3,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18972222,8.945361111,225.625,2,2014-08-19,Meher-14,361,1.6
11,5622,5622,2,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18972222,8.945361111,243.125,4,2014-08-19,Meher-14,389,1.6
11,390ET_D,hitosa,4,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18972222,8.945361111,210.625,1,2014-08-19,Meher-14,337,1.6
12,208157,208157,1,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18011111,8.960138889,289.375,4,2014-08-05,Meher-14,463,1.6
12,035ET_D,208190,2,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18011111,8.960138889,459.375,2,2014-08-05,Meher-14,735,1.6
12,222372,222372,3,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18011111,8.960138889,198.75,3,2014-08-05,Meher-14,318,1.6
12,390ET_D,hitosa,4,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18011111,8.960138889,402.5,1,2014-08-05,Meher-14,644,1.6
13,203940,203940,1,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17777778,8.946444444,250,4,2014-08-18,Meher-14,400,1.6
13,003ET_D,5588,3,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17777778,8.946444444,271.25,1,2014-08-18,Meher-14,434,1.6
13,005ET_D,5634,2,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17777778,8.946444444,275.625,3,2014-08-18,Meher-14,441,1.6
13,390ET_D,hitosa,4,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17777778,8.946444444,170.625,2,2014-08-18,Meher-14,273,1.6
15,028ET_D,208136,1,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17575,8.965694444,456.875,4,2014-08-04,Meher-14,731,1.6
15,214306,214306,2,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17575,8.965694444,518.75,3,2014-08-04,Meher-14,830,1.6
15,6891,6891,3,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17575,8.965694444,565.625,1,2014-08-04,Meher-14,905,1.6
15,390ET_D,hitosa,4,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17575,8.965694444,363.75,2,2014-08-04,Meher-14,582,1.6
16,226157,226157,3,2014,Oromia,East Oromia,Gimbichu,Argoba,39.16294444,8.968888889,319.375,1,2014-08-14,Meher-14,511,1.6
16,5684,5684,2,2014,Oromia,East Oromia,Gimbichu,Argoba,39.16294444,8.968888889,420.625,3,2014-08-14,Meher-14,673,1.6
16,8175,8175,1,2014,Oromia,East Oromia,Gimbichu,Argoba,39.16294444,8.968888889,255.625,4,2014-08-14,Meher-14,409,1.6
16,390ET_D,hitosa,4,2014,Oromia,East Oromia,Gimbichu,Argoba,39.16294444,8.968888889,238.125,2,2014-08-14,Meher-14,381,1.6
18,028ET_D,208136,3,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21219444,8.720805556,502.5,1,2014-07-24,Meher-14,804,1.6
18,214462,214462,2,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21219444,8.720805556,380.625,4,2014-07-24,Meher-14,609,1.6
18,222373,222373,1,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21219444,8.720805556,401.875,3,2014-07-24,Meher-14,643,1.6
18,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21219444,8.720805556,250,2,2014-07-24,Meher-14,400,1.6
19,204936,204936,3,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20347222,8.728361111,519.375,2,2014-07-24,Meher-14,831,1.6
19,226157,226157,1,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20347222,8.728361111,443.75,3,2014-07-24,Meher-14,710,1.6
19,226535,226535,2,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20347222,8.728361111,443.125,4,2014-07-24,Meher-14,709,1.6
19,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20347222,8.728361111,331.25,1,2014-07-24,Meher-14,530,1.6
21,208157,208157,1,2014,Oromia,East Oromia,Lume,Danse Shambure,39.24394444,8.726166667,293.75,2,2014-07-21,Meher-14,470,1.6
21,035ET_D,208190,2,2014,Oromia,East Oromia,Lume,Danse Shambure,39.24394444,8.726166667,312.5,3,2014-07-21,Meher-14,500,1.6
21,222372,222372,3,2014,Oromia,East Oromia,Lume,Danse Shambure,39.24394444,8.726166667,337.5,4,2014-07-21,Meher-14,540,1.6
21,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Danse Shambure,39.24394444,8.726166667,393.75,1,2014-07-21,Meher-14,630,1.6
23,214462,214462,3,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20638889,8.732361111,250,3,2014-07-23,Meher-14,400,1.6
23,222373,222373,2,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20638889,8.732361111,281.25,2,2014-07-23,Meher-14,450,1.6
23,8034,8034,1,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20638889,8.732361111,312.5,1,2014-07-23,Meher-14,500,1.6
23,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20638889,8.732361111,187.5,4,2014-07-23,Meher-14,300,1.6
27,226157,226157,2,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20911111,8.723444444,406.875,2,2014-07-24,Meher-14,651,1.6
27,226535,226535,3,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20911111,8.723444444,416.25,1,2014-07-24,Meher-14,666,1.6
27,5684,5684,1,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20911111,8.723444444,373.75,4,2014-07-24,Meher-14,598,1.6
27,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20911111,8.723444444,406.875,3,2014-07-24,Meher-14,651,1.6
28,204936,204936,1,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21219444,8.730555556,250,4,2014-07-23,Meher-14,400,1.6
28,208140,208140,2,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21219444,8.730555556,350,2,2014-07-23,Meher-14,560,1.6
28,5622,5622,3,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21219444,8.730555556,325,3,2014-07-23,Meher-14,520,1.6
28,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21219444,8.730555556,313.125,1,2014-07-23,Meher-14,501,1.6
29,208157,208157,2,2014,Oromia,East Oromia,Lume,Danse Shambure,39.211,8.730583333,350,1,2014-07-22,Meher-14,560,1.6
29,208173,208173,1,2014,Oromia,East Oromia,Lume,Danse Shambure,39.211,8.730583333,281.25,2,2014-07-22,Meher-14,450,1.6
29,035ET_D,208190,3,2014,Oromia,East Oromia,Lume,Danse Shambure,39.211,8.730583333,250,4,2014-07-22,Meher-14,400,1.6
29,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Danse Shambure,39.211,8.730583333,318.125,3,2014-07-22,Meher-14,509,1.6
30,203940,203940,2,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21486111,8.727333333,350,2,2014-07-22,Meher-14,560,1.6
30,222372,222372,1,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21486111,8.727333333,375,1,2014-07-22,Meher-14,600,1.6
30,005ET_D,5634,3,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21486111,8.727333333,287.5,4,2014-07-22,Meher-14,460,1.6
30,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21486111,8.727333333,346.875,3,2014-07-22,Meher-14,555,1.6
31,222373,222373,3,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20744444,8.727833333,312.5,2,2014-07-18,Meher-14,500,1.6
31,003ET_D,5588,1,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20744444,8.727833333,375,4,2014-07-18,Meher-14,600,1.6
31,8034,8034,2,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20744444,8.727833333,518.75,3,2014-07-18,Meher-14,830,1.6
31,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20744444,8.727833333,515.625,1,2014-07-18,Meher-14,825,1.6
32,028ET_D,208136,2,2014,Oromia,East Oromia,Lume,Danse Shambure,39.24066667,8.7305,187.5,2,2014-07-22,Meher-14,300,1.6
32,214306,214306,3,2014,Oromia,East Oromia,Lume,Danse Shambure,39.24066667,8.7305,512.5,4,2014-07-22,Meher-14,820,1.6
32,214462,214462,1,2014,Oromia,East Oromia,Lume,Danse Shambure,39.24066667,8.7305,356.25,1,2014-07-22,Meher-14,570,1.6
32,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Danse Shambure,39.24066667,8.7305,250,3,2014-07-22,Meher-14,400,1.6
33,5684,5684,3,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20094444,8.733388889,206.25,4,2014-07-23,Meher-14,330,1.6
33,6891,6891,1,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20094444,8.733388889,431.25,1,2014-07-23,Meher-14,690,1.6
33,8175,8175,2,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20094444,8.733388889,434.375,3,2014-07-23,Meher-14,695,1.6
33,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20094444,8.733388889,437.5,2,2014-07-23,Meher-14,700,1.6
34,204936,204936,2,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24272222,8.786638889,312.5,4,2014-07-24,Meher-14,500,1.6
34,208140,208140,3,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24272222,8.786638889,195.625,2,2014-07-24,Meher-14,313,1.6
34,226535,226535,1,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24272222,8.786638889,187.5,3,2014-07-24,Meher-14,300,1.6
34,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24272222,8.786638889,250,1,2014-07-24,Meher-14,400,1.6
35,222373,222373,3,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23452778,8.7795,436.875,2,2014-07-22,Meher-14,699,1.6
35,8034,8034,2,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23452778,8.7795,436.25,4,2014-07-22,Meher-14,698,1.6
35,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23452778,8.7795,444.375,1,2014-07-22,Meher-14,711,1.6
36,028ET_D,208136,2,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24319444,8.783055556,833.125,4,2014-07-22,Meher-14,1333,1.6
36,214306,214306,3,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24319444,8.783055556,630.625,3,2014-07-22,Meher-14,1009,1.6
36,214462,214462,1,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24319444,8.783055556,855,1,2014-07-22,Meher-14,1368,1.6
36,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24319444,8.783055556,NA,2,2014-07-22,Meher-14,1455,1.6
37,5684,5684,3,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.22844444,8.785111111,408.125,4,2014-07-24,Meher-14,653,1.6
37,6891,6891,1,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.22844444,8.785111111,381.875,2,2014-07-24,Meher-14,611,1.6
