id,year,region,lat,lon,type
1,2014,Oromia,9.014694,39.137111,Farm trial
2,2014,Oromia,8.949944,39.089278,Farm trial
3,2014,Oromia,9.008639,39.149111,Farm trial
4,2014,Oromia,9.795472,39.189139,Farm trial
6,2014,Oromia,9.781361,39.19025,Farm trial
7,2014,Oromia,8.770861,39.278972,Farm trial
8,2014,Oromia,9.014222,39.138694,Farm trial
9,2014,Oromia,8.965417,39.087333,Farm trial
10,2014,Oromia,9.0035,39.137694,Farm trial
11,2014,Oromia,9.781667,39.12475,Farm trial
12,2014,Oromia,9.780583,39.188472,Farm trial
13,2014,Oromia,9.785667,39.191167,Farm trial
14,2014,Oromia,8.785139,39.227889,Farm trial
15,2014,Oromia,9.773,39.191222,Farm trial
16,2014,Oromia,9.771833,39.194889,Farm trial
17,2014,Oromia,9.78,39.192806,Farm trial
18,2014,Oromia,10.0165,39.238833,Farm trial
19,2014,Oromia,9.019111,39.137056,Farm trial
20,2014,Oromia,9.000417,39.139917,Farm trial
21,2014,Oromia,9.002028,39.139972,Farm trial
22,2014,Oromia,8.747306,39.225917,Farm trial
23,2014,Oromia,9.003056,39.13975,Farm trial
24,2014,Oromia,9.781361,39.121833,Farm trial
25,2014,Oromia,9.780583,39.188472,Farm trial
26,2014,Oromia,8.771833,39.277056,Farm trial
27,2015,Tigray,13.3742,39.0925,Farm trial
28,2014,Oromia,9.011167,39.137194,Farm trial
29,2014,Oromia,8.730194,39.240361,Farm trial
30,2014,Oromia,8.768111,39.274667,Farm trial
32,2014,Oromia,9.782806,39.193667,Farm trial
33,2014,Oromia,9.0115,39.144278,Farm trial
34,2014,Oromia,9.783833,39.125083,Farm trial
35,2014,Oromia,8.7305,39.240667,Farm trial
36,2014,Oromia,9.783056,39.122694,Farm trial
37,2014,Oromia,9.785667,39.191167,Farm trial
38,2014,Oromia,8.72925,39.239236,Farm trial
39,2014,Oromia,9.014417,39.139917,Farm trial
40,2014,Oromia,10.002972,39.239722,Farm trial
41,2014,Oromia,9.784139,39.124472,Farm trial
42,2014,Oromia,8.945194,39.082528,Farm trial
43,2014,Oromia,9.78,39.192806,Farm trial
