accession	type	adm1	adm2	adm3	adm4	x	y	year_charac	select	from_gps	elev_mean	elev_median
5300	farmer variety	Oromia	MISRAK SHEWA	GIMBICHU	Woberi, 35km E of Addis Abeba	39	9.066667	1982	FALSE	TRUE	1197.033333	1198
5314	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	Koftu	38.866667	8.266667	1982	FALSE	TRUE	453.7	460.5
5430	farmer variety	Oromia	MISRAK SHEWA	LOME	Ejere	39.25	8.783333	1984	FALSE	TRUE	927.4833333	927.5
5503	farmer variety	Oromia	MISRAK SHEWA	LOME	Ejere	39.25	8.783333	1983	TRUE	TRUE	927.4833333	927.5
5588	farmer variety	Oromia	SEMEN SHEWA	BEREHNA ALELTU	9km Chefe Donsa to Sendafa	39.05	9.016667	1982	TRUE	TRUE	1165.133333	1165
5611	farmer variety	Oromia	SEMEN SHEWA	BEREHNA ALELTU	Riba, S of Sendafa	39.066667	9.05	1982	FALSE	TRUE	1207.466667	1210
5622	farmer variety	Oromia	MISRAK SHEWA	GIMBICHU	5km Chefe Donsa to Sendafa	39.05	9.016667	1982	TRUE	TRUE	1165.133333	1165
5634	farmer variety	Oromia	SEMEN SHEWA	BEREHNA ALELTU	Rogge, S of Hamus Gebeya	39.1	9.033333	1983	TRUE	TRUE	1183.866667	1185
5654	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	Filtinio, near koftu	39.25	9.066667	1987	FALSE	TRUE	1191.533333	1192
5663	farmer variety	Oromia	MISRAK SHEWA	GIMBICHU	EPID Site, Chefe Donsa	39.05	9.016667	1985	FALSE	TRUE	1165.133333	1165
5679	farmer variety	Oromia	SEMEN SHEWA	MULONA SULULTA	Chancho, 66km Addis Abeba to Fiche	37.483333	10.566667	1983	FALSE	TRUE	821.4166667	818
5684	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	Goro Gabriel, Dekako	39.1	8.966667	1983	TRUE	TRUE	1111.5	1114.5
5690	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	SE Slope of Mt.Yerer	39.016667	8.9	1983	FALSE	TRUE	994.1166667	985.5
6697	farmer variety	NA	NA	NA	NA	NA	NA	1982	TRUE	TRUE	NA	NA
6891	farmer variety	Oromia	BALE	GINIR	9km, Ginir to Goro	40.783333	7.066667	1985	TRUE	TRUE	229.9833333	231
7960	farmer variety	Amhara	SEMEN SHEWA	ANGOLELA TEANA ASAGR	25km Debre Berhan to Jihur	36.433333	9.65	1985	FALSE	TRUE	257.5666667	263
8034	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	7km SE of Debre Zeyit	39.033333	8.616667	1985	TRUE	TRUE	639.8333333	635.5
8175	farmer variety	Amhara	SEMEN SHEWA	DEBRE BERHAN ZURIA	Keyit Market	39.85	9.95	1985	TRUE	TRUE	209.55	211
8205	farmer variety	Amhara	SEMEN SHEWA	GERAMIDIRNA KEYA GEB	Menz Area	NA	NA	1985	FALSE	TRUE	NA	NA
8208	farmer variety	Amhara	SEMEN SHEWA	MAFUDMEZEZO MOJANA	Debre Sina Area	39.75	9.85	1985	TRUE	TRUE	1653.866667	1669
8214	farmer variety	Amhara	SEMEN SHEWA	MAFUDMEZEZO MOJANA	Yizaba, 5km NW Debre Sina to Mezezo	39.75	9.85	1985	FALSE	TRUE	1653.866667	1669
8436	farmer variety	SNNP	BENCH MAJI	KONSO special wereda	10km from Konso to Fasha Rood	37.3	5.3	1982	FALSE	TRUE	306.4166667	293.5
200929	farmer variety	NA	NA	NA	NA	NA	NA	2003	FALSE	TRUE	NA	NA
202012	farmer variety	NA	NA	NA	NA	NA	NA	NA	FALSE	TRUE	NA	NA
