accession,type,adm1,adm2,adm3,adm4,x,y,year_charac
5503,farmer variety,Oromia,MISRAK SHEWA,LOME,Ejere,39.25,8.783333,1983
5586,farmer variety,,NA,NA,NA,NA,NA,NA
5622,farmer variety,Oromia,MISRAK SHEWA,GIMBICHU,5km Chefe Donsa to Sendafa,39.05,9.016667,1982
5684,farmer variety,Oromia,MISRAK SHEWA,ADA'A CHUKALA,"Goro Gabriel, Dekako",39.1,8.966667,1983
6584,farmer variety,,NA,NA,NA,NA,NA,NA
6697,farmer variety,NA,NA,NA,NA,NA,NA,1982
6891,farmer variety,Oromia,BALE,GINIR,"9km, Ginir to Goro",40.783333,7.066667,1985
8034,farmer variety,Oromia,MISRAK SHEWA,ADA'A CHUKALA,7km SE of Debre Zeyit,39.033333,8.616667,1985
8117,farmer variety,,NA,NA,NA,NA,NA,NA
8175,farmer variety,Amhara,SEMEN SHEWA,DEBRE BERHAN ZURIA,Keyit Market,39.85,9.95,1985
203739,farmer variety,Oromia,MISRAK SHEWA,LUME,NA,39.766667,8.783333,1984
203940,farmer variety,Oromia,MISRAK SHEWA,ADA'A CHUKALA,NA,39.1,8.966667,1984
204411,farmer variety,Oromia,ARSSI,MERTI,NA,39.783333,8.5,1982
204936,farmer variety,NA,NA,NA,NA,NA,NA,1992
208137,farmer variety,Amhara,MISRAK GOJAM,ENARJ ENAWGA,5Km from Debre Work on the road to MottaTitar eyesus to Mota,38.07527778,10.75416667,2003
208140,farmer variety,Amhara,MISRAK GOJAM,ENARJ ENAWGA,5Km from Debre Work on the road to MottaTitar eyesus to Mota,38.07527778,10.75416667,2003
208157,farmer variety,Amhara,MISRAK GOJAM,ENARJ ENAWGA,Zachela Gebriel 10Km Titar Eyesus to Mota,NA,NA,2003
208164,farmer variety,Amhara,MISRAK GOJAM,ENARJ ENAWGA,Zachela Gebriel 10Km Titar Eyesus to Mota,NA,NA,2003
208224,farmer variety,Amhara,MISRAK GOJAM,DEBRE MARKOS,Chemoga about 25 Km from DebreMarkos on the way to Addis,NA,NA,2003
214306,farmer variety,NA,NA,NA,NA,38.9,8.983333,1984
214357,farmer variety,Oromia,SEMEN SHEWA,BEREHNA? ALELTU,NA,39.066667,9.183333,1984
214462,farmer variety,NA,NA,NA,NA,40.883333,9.133333,1984
222372,farmer variety,Oromia,ARSSI,MERTI,NA,39.866667,8.566667,1986
222373,farmer variety,Oromia,ARSSI,MERTI,NA,39.866667,8.566667,1986
226157,farmer variety,Oromia,MISRAK SHEWA,ADA'A CHUKALA,NA,38.933333,8.783333,1987
226535,farmer variety,NA,NA,NA,NA,NA,NA,1987
226973,farmer variety,Oromia,ARSSI,ROBE,NA,39.616667,7.883333,1987
227314,farmer variety,NA,NA,NA,NA,NA,NA,1993
231475,farmer variety,Oromia,MISRAK SHEWA,ADA'A CHUKALA,NA,38.9,8.783333,1989
236308,farmer variety,Amhara,MIRAB GOJAM,ADET,Adet 14km to Bahirder,37.41222222,11.36861111,NA
237810,farmer variety,,NA,NA,NA,NA,NA,NA
238537,farmer variety,Amhara,SEMEN SHEWA,DEBRE BERHAN ZURIA,Mekegene & Daleti 11km from D.brehan on the way to Mendida,39.55222222,9.626111111,NA
