ID	DNA_CODE	SPECIES	TYPE
5300	001ET_D	durum_wheat	landrace
5314	002ET_D	durum_wheat	landrace
5588	003ET_D	durum_wheat	landrace
5611	004ET_D	durum_wheat	landrace
5634	005ET_D	durum_wheat	landrace
5654	006ET_D	durum_wheat	landrace
5679	007ET_D	durum_wheat	landrace
7960	NA	NA	landrace
8019	009ET_D	durum_wheat	landrace
8151	012ET_D	durum_wheat	landrace
8205	013ET_D	durum_wheat	landrace
8208	014ET_D	durum_wheat	landrace
8214	489NET_D	durum_wheat	landrace
8436	017ET_B	bread_wheat	landrace
202012	499NET_D	durum_wheat	landrace
202458	420ET_D	durum_wheat	landrace
203889	490NET_D	durum_wheat	landrace
204353	018ET_D	durum_wheat	landrace
204488	019ET_D	durum_wheat	landrace
204530	020ET_D	durum_wheat	landrace
206548	NA	NA	landrace
206551	022ET_D	durum_wheat	landrace
206554	023ET_D	durum_wheat	landrace
206556	024ET_D	durum_wheat	landrace
206567	025ET_D	durum_wheat	landrace
206576	478ET_D	durum_wheat	landrace
206666	445ET_D	durum_wheat	landrace
206690	026ET_D	durum_wheat	landrace
206700	027ET_D	durum_wheat	landrace
207058	E501ET_D	durum_wheat	landrace
208136	028ET_D	durum_wheat	landrace
208146	029ET_D	durum_wheat	landrace
208150	419ET_D	durum_wheat	landrace
208151	458ET_B	bread_wheat	landrace
208155	030ET_D	durum_wheat	landrace
208161	031ET_D	durum_wheat	landrace
208162	449ET_D	durum_wheat	landrace
208167	032ET_B	bread_wheat	landrace
208168	NA	NA	landrace
208173	425ET_B	bread_wheat	landrace
208175	033ET_D	durum_wheat	landrace
208184	437ET_D	durum_wheat	landrace
208186	363ET_B	bread_wheat	landrace
208188	NA	NA	landrace
208189	034ET_D	durum_wheat	landrace
208190	035ET_D	durum_wheat	landrace
208192	036ET_D	durum_wheat	landrace
208194	037ET_D	durum_wheat	landrace
208196	038ET_D	durum_wheat	landrace
208200	357ET_D	durum_wheat	landrace
208209	366ET_B	bread_wheat	landrace
208221	481ET_B	bread_wheat	landrace
208222	039ET_B	bread_wheat	landrace
208227	040ET_D	durum_wheat	landrace
208228	041ET_B	bread_wheat	landrace
208229	042ET_D	durum_wheat	landrace
208230	043ET_B	bread_wheat	landrace
208233	044ET_B	bread_wheat	landrace
208239	424ET_B	bread_wheat	landrace
208242	045ET_D	durum_wheat	landrace
208243	375ET_D	durum_wheat	landrace
208244	046ET_D	durum_wheat	landrace
208248	047ET_B	bread_wheat	landrace
208250	381ET_D	durum_wheat	landrace
208252	453ET_D	durum_wheat	landrace
208253	048ET_D	durum_wheat	landrace
208256	412ET_B	bread_wheat	landrace
208258	418ET_D	durum_wheat	landrace
208262	432ET_D	durum_wheat	landrace
208264	372ET_D	durum_wheat	landrace
208273	050ET_D	durum_wheat	landrace
208277	398ET_D	durum_wheat	landrace
208278	496NET_B	bread_wheat	landrace
208279	051ET_D	durum_wheat	landrace
208280	367ET_B	bread_wheat	landrace
208281	454ET_D	durum_wheat	landrace
208282	052ET_B	bread_wheat	landrace
208283	053ET_D	durum_wheat	landrace
208285	054ET_D	durum_wheat	landrace
208286	055ET_D	durum_wheat	landrace
208288	056ET_D	durum_wheat	landrace
208290	057ET_D	durum_wheat	landrace
208292	058ET_B	bread_wheat	landrace
208293	059ET_D	durum_wheat	landrace
208294	422ET_D	durum_wheat	landrace
208304	060ET_D	durum_wheat	landrace
208309	477ET_B	bread_wheat	landrace
208310	061ET_B	bread_wheat	landrace
208311	062ET_B	bread_wheat	landrace
208312	416ET_D	durum_wheat	landrace
208315	063ET_D	durum_wheat	landrace
208316	365ET_D	durum_wheat	landrace
208317	480ET_D	durum_wheat	landrace
208318	064ET_B	bread_wheat	landrace
208320	378ET_D	durum_wheat	landrace
208321	399ET_D	durum_wheat	landrace
208322	065ET_D	durum_wheat	landrace
208327	NA	NA	landrace
208328	066ET_D	durum_wheat	landrace
208334	070ET_D	durum_wheat	landrace
208336	444ET_D	durum_wheat	landrace
208365	071ET_D	durum_wheat	landrace
208474	072ET_D	durum_wheat	landrace
208481	E503ET_D	durum_wheat	landrace
208482	073ET_D	durum_wheat	landrace
208486	074ET_D	durum_wheat	landrace
208780	455ET_D	durum_wheat	landrace
208873	075ET_D	durum_wheat	landrace
208931	NA	NA	landrace
210795	392ET_B	bread_wheat	landrace
210796	076ET_B	bread_wheat	landrace
210801	402ET_D	durum_wheat	landrace
210803	077ET_B	bread_wheat	landrace
210813	387ET_D	durum_wheat	landrace
210815	353ET_D	durum_wheat	landrace
210818	247ET_B	bread_wheat	landrace
210821	078ET_D	durum_wheat	landrace
210825	079ET_D	durum_wheat	landrace
210896	433ET_D	durum_wheat	landrace
212561	081ET_D	durum_wheat	landrace
212564	082ET_D	durum_wheat	landrace
213310	083ET_D	durum_wheat	landrace
214303	409ET_D	durum_wheat	landrace
214328	084ET_B	bread_wheat	landrace
214357	NA	NA	landrace
214366	447ET_D	durum_wheat	landrace
214494	086ET_B	bread_wheat	landrace
214502	494NET_B	bread_wheat	landrace
214571	087ET_D	durum_wheat	landrace
214585	088ET_D	durum_wheat	landrace
214599	089ET_B	bread_wheat	landrace
214874	090ET_D	durum_wheat	landrace
214877	091ET_D	durum_wheat	landrace
214881	438ET_D	durum_wheat	landrace
215111	092ET_D	durum_wheat	landrace
215276	093ET_D	durum_wheat	landrace
215411	391ET_D	durum_wheat	landrace
216472	094ET_B	bread_wheat	landrace
216490	426ET_B	bread_wheat	landrace
216625	095ET_B	bread_wheat	landrace
222190	096ET_D	durum_wheat	landrace
222198	099ET_B	bread_wheat	landrace
222297	100ET_D	durum_wheat	landrace
222298	101ET_B	bread_wheat	landrace
222326	102ET_D	durum_wheat	landrace
222332	104ET_D	durum_wheat	landrace
222346	105ET_D	durum_wheat	landrace
222352	106ET_D	durum_wheat	landrace
222360	107ET_D	durum_wheat	landrace
222366	360ET_D	durum_wheat	landrace
222387	108ET_D	durum_wheat	landrace
222408	109ET_D	durum_wheat	landrace
222413	110ET_D	durum_wheat	landrace
222415	NA	NA	landrace
222419	111ET_D	durum_wheat	landrace
222426	112ET_D	durum_wheat	landrace
222432	361ET_D	durum_wheat	landrace
222433	113ET_D	durum_wheat	landrace
222434	114ET_D	durum_wheat	landrace
222435	115ET_D	durum_wheat	landrace
222440	116ET_D	durum_wheat	landrace
222457	117ET_D	durum_wheat	landrace
222462	407ET_D	durum_wheat	landrace
222464	118ET_D	durum_wheat	landrace
222500	380ET_D	durum_wheat	landrace
222530	E504ET_D	durum_wheat	landrace
222541	121ET_D	durum_wheat	landrace
222542	122ET_D	durum_wheat	landrace
222554	123ET_D	durum_wheat	landrace
222578	124ET_D	durum_wheat	landrace
222623	125ET_B	bread_wheat	landrace
222641	126ET_D	durum_wheat	landrace
222655	388ET_D	durum_wheat	landrace
222660	127ET_D	durum_wheat	landrace
222666	128ET_B	bread_wheat	landrace
222682	386ET_D	durum_wheat	landrace
222727	442ET_B	bread_wheat	landrace
222730	131ET_D	durum_wheat	landrace
222736	E505ET_B	bread_wheat	landrace
222752	132ET_D	durum_wheat	landrace
222780	429ET_D	durum_wheat	landrace
222786	133ET_D	durum_wheat	landrace
222805	134ET_D	durum_wheat	landrace
222806	135ET_D	durum_wheat	landrace
222811	136ET_D	durum_wheat	landrace
222813	347ET_B	bread_wheat	landrace
222841	138ET_D	durum_wheat	landrace
222854	415ET_D	durum_wheat	landrace
222855	139ET_D	durum_wheat	landrace
222856	370ET_D	durum_wheat	landrace
222858	385ET_B	bread_wheat	landrace
222859	140ET_D	durum_wheat	landrace
223257	141ET_D	durum_wheat	landrace
225844	142ET_B	bread_wheat	landrace
226094	143ET_D	durum_wheat	landrace
226191	144ET_D	durum_wheat	landrace
226273	384ET_D	durum_wheat	landrace
226357	379ET_B	bread_wheat	landrace
226363	145ET_B	bread_wheat	landrace
226371	417ET_B	bread_wheat	landrace
226825	146ET_D	durum_wheat	landrace
226826	147ET_D	durum_wheat	landrace
226839	148ET_D	durum_wheat	landrace
226840	149ET_D	durum_wheat	landrace
226876	150ET_B	bread_wheat	landrace
226887	369ET_D	durum_wheat	landrace
226894	E506ET_D	durum_wheat	landrace
226928	421ET_D	durum_wheat	landrace
226951	151ET_B	bread_wheat	landrace
227009	451ET_D	durum_wheat	landrace
227029	152ET_B	bread_wheat	landrace
227058	154ET_D	durum_wheat	landrace
227061	155ET_B	bread_wheat	landrace
227063	410ET_B	bread_wheat	landrace
227542	156ET_D	durum_wheat	landrace
228135	373ET_B	bread_wheat	landrace
228600	441ET_D	durum_wheat	landrace
228753	414ET_D	durum_wheat	landrace
228762	157ET_D	durum_wheat	landrace
228768	158ET_B	bread_wheat	landrace
228771	159ET_D	durum_wheat	landrace
228862	160ET_D	durum_wheat	landrace
229251	279ET_D	durum_wheat	landrace
231524	382ET_D	durum_wheat	landrace
231565	163ET_B	bread_wheat	landrace
231572	423ET_D	durum_wheat	landrace
231573	164ET_D	durum_wheat	landrace
231580	165ET_D	durum_wheat	landrace
231586	166ET_D	durum_wheat	landrace
231597	431ET_D	durum_wheat	landrace
234498	362ET_D	durum_wheat	landrace
234513	411ET_D	durum_wheat	landrace
234514	440ET_D	durum_wheat	landrace
236269	167ET_D	durum_wheat	landrace
236271	354ET_D	durum_wheat	landrace
236276	168ET_D	durum_wheat	landrace
236278	169ET_D	durum_wheat	landrace
236282	170ET_D	durum_wheat	landrace
236286	171ET_D	durum_wheat	landrace
236288	403ET_D	durum_wheat	landrace
236291	172ET_D	durum_wheat	landrace
236295	173ET_B	bread_wheat	landrace
236296	174ET_D	durum_wheat	landrace
236297	286ET_D	durum_wheat	landrace
236300	175ET_D	durum_wheat	landrace
236301	176ET_D	durum_wheat	landrace
236308	NA	NA	landrace
236313	177ET_D	durum_wheat	landrace
236982	179ET_D	durum_wheat	landrace
236984	400ET_D	durum_wheat	landrace
236986	180ET_D	durum_wheat	landrace
236987	299ET_D	durum_wheat	landrace
236988	NA	NA	landrace
236989	181ET_B	bread_wheat	landrace
238117	182ET_B	bread_wheat	landrace
238119	183ET_B	bread_wheat	landrace
238120	450ET_D	durum_wheat	landrace
238121	184ET_B	bread_wheat	landrace
