id,year,region,zone,district,kebele,lon,lat,planting_date,season
1,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18211111,8.949277778,17/08/2014,Meher-14
2,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19208333,8.948416667,27/07/2014,Meher-14
3,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17983333,8.951138889,04/08/2014,Meher-14
4,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17716667,8.957694444,27/07/2014,Meher-14
7,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18152778,8.964388889,04/08/2014,Meher-14
8,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19233333,8.94875,29/07/2014,Meher-14
9,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17905556,8.951,14/08/2014,Meher-14
10,2014,Oromia,East Oromia,Gimbichu,Argoba,39.19219444,8.947583333,12/08/2014,Meher-14
11,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18972222,8.945361111,19/08/2014,Meher-14
12,2014,Oromia,East Oromia,Gimbichu,Argoba,39.18011111,8.960138889,05/08/2014,Meher-14
13,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17777778,8.946444444,18/08/2014,Meher-14
15,2014,Oromia,East Oromia,Gimbichu,Argoba,39.17575,8.965694444,04/08/2014,Meher-14
16,2014,Oromia,East Oromia,Gimbichu,Argoba,39.16294444,8.968888889,14/08/2014,Meher-14
18,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21219444,8.720805556,24/07/2014,Meher-14
19,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20347222,8.728361111,24/07/2014,Meher-14
21,2014,Oromia,East Oromia,Lume,Danse Shambure,39.24394444,8.726166667,21/07/2014,Meher-14
23,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20638889,8.732361111,23/07/2014,Meher-14
27,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20911111,8.723444444,24/07/2014,Meher-14
28,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21219444,8.730555556,23/07/2014,Meher-14
29,2014,Oromia,East Oromia,Lume,Danse Shambure,39.211,8.730583333,22/07/2014,Meher-14
30,2014,Oromia,East Oromia,Lume,Danse Shambure,39.21486111,8.727333333,22/07/2014,Meher-14
31,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20744444,8.727833333,18/07/2014,Meher-14
32,2014,Oromia,East Oromia,Lume,Danse Shambure,39.24066667,8.7305,22/07/2014,Meher-14
33,2014,Oromia,East Oromia,Lume,Danse Shambure,39.20094444,8.733388889,23/07/2014,Meher-14
34,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24272222,8.786638889,24/07/2014,Meher-14
35,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23452778,8.7795,22/07/2014,Meher-14
36,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24319444,8.783055556,22/07/2014,Meher-14
37,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.22844444,8.785111111,24/07/2014,Meher-14
38,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.22677778,8.784305556,24/07/2014,Meher-14
42,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23283333,8.779666667,24/08/2014,Meher-14
43,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23752778,8.785111111,22/07/2014,Meher-14
45,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23877778,8.781361111,22/07/2014,Meher-14
48,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27705556,8.771833333,18/07/2014,Meher-14
49,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27366667,8.764638889,22/07/2014,Meher-14
50,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26997222,8.769805556,21/07/2014,Meher-14
52,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27341667,8.771416667,22/07/2014,Meher-14
53,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27833333,8.768694444,21/07/2014,Meher-14
54,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26827778,8.77175,20/07/2014,Meher-14
55,2014,Oromia,East Oromia,Lume,Tikurgebru,39.28005556,8.772472222,18/07/2014,Meher-14
56,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27897222,8.770861111,18/07/2014,Meher-14
57,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26866667,8.775555556,20/07/2014,Meher-14
58,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27827778,8.771444444,18/07/2014,Meher-14
59,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27791667,8.773361111,20/07/2014,Meher-14
60,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27594444,8.769638889,22/07/2014,Meher-14
61,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27577778,8.760444444,22/07/2014,Meher-14
62,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27525,8.761555556,22/07/2014,Meher-14
64,2014,Oromia,East Oromia,Gimbichu,Habru meti,39.09769444,8.948555556,08/08/2014,Meher-14
66,2014,Oromia,East Oromia,Gimbichu,Habru meti,39.09797222,8.955333333,16/08/2014,Meher-14
69,2014,Oromia,East Oromia,Gimbichu,Habru meti,39.09341667,8.937666667,05/08/2014,Meher-14
70,2014,Oromia,East Oromia,Gimbichu,Habru meti,39.08927778,8.947444444,17/08/2014,Meher-14
71,2014,Oromia,East Oromia,Gimbichu,Habru meti,39.08252778,8.945194444,15/08/2014,Meher-14
74,2014,Oromia,East Oromia,Gimbichu,Habru meti,39.09619444,8.947222222,15/08/2014,Meher-14
75,2014,Oromia,East Oromia,Gimbichu,Habru meti,39.09227778,8.94525,12/08/2014,Meher-14
84,2014,Oromia,East Oromia,Gimbichu,Fugni,39.09819444,8.930575,13/08/2014,Meher-14
87,2014,Oromia,East Oromia,Gimbichu,Fugni,39.0885,8.971694444,01/08/2014,Meher-14
89,2014,Oromia,East Oromia,Gimbichu,Fugni,39.08111111,8.964166667,20/08/2014,Meher-14
90,2014,Oromia,East Oromia,Gimbichu,Fugni,39.08480556,8.966416667,09/08/2014,Meher-14
91,2014,Oromia,East Oromia,Gimbichu,Fugni,39.07841667,8.96675,05/08/2014,Meher-14
92,2014,Oromia,East Oromia,Gimbichu,Fugni,39.09002778,8.986361111,16/08/2014,Meher-14
93,2014,Oromia,East Oromia,Gimbichu,Fugni,39.08411111,8.984555556,20/08/2014,Meher-14
94,2014,Oromia,East Oromia,Gimbichu,Fugni,39.06997222,8.974972222,13/08/2014,Meher-14
95,2014,Oromia,East Oromia,Gimbichu,Fugni,39.079,8.977583333,14/08/2014,Meher-14
96,2014,Oromia,East Oromia,Gimbichu,Tulu re'e,39.12436111,9.008305556,27/09/2014,Meher-14
97,2014,Oromia,East Oromia,Gimbichu,Tulu re'e,39.11133333,9.024722222,27/09/2014,Meher-14
98,2014,Oromia,East Oromia,Gimbichu,Tulu re'e,39.11913889,9.017111111,27/09/2014,Meher-14
99,2014,Oromia,East Oromia,Gimbichu,Tulu re'e,39.12375,9.002944444,27/09/2014,Meher-14
100,2014,Oromia,East Oromia,Gimbichu,Tulu re'e,39.12030556,9.014583333,27/09/2014,Meher-14
101,2014,Oromia,East Oromia,Gimbichu,Tulu re'e,39.12172222,9.006444444,27/09/2014,Meher-14
102,2014,Oromia,East Oromia,Gimbichu,Tulu re'e,39.12025,9.005555556,27/09/2014,Meher-14
104,2014,Oromia,East Oromia,Gimbichu,Tulu re'e,39.11577778,9.004222222,27/09/2014,Meher-14
105,2014,Oromia,East Oromia,Gimbichu,Tulu re'e,39.11522222,9.012805556,27/09/2014,Meher-14
106,2014,Oromia,East Oromia,Gimbichu,Tulu re'e,39.10391667,9.000666667,27/09/2014,Meher-14
107,2014,Oromia,East Oromia,Gimbichu,Tulu re'e,39.10411111,9.004611111,27/09/2014,Meher-14
