accession,DNA_CODE
203940,NA
204488,019ET_D
204936,NA
206551,022ET_D
208136,028ET_D
208137,NA
208140,NA
208157,NA
208173,425ET_B
208190,035ET_D
208253,048ET_D
208279,051ET_D
208281,454ET_D
208304,060ET_D
208328,066ET_D
208474,072ET_D
210812a,242ET_D
210813,387ET_D
210817b,246ET_D
210820a,249ET_D
212564,082ET_D
214306,NA
214357,NA
214462,NA
222360,107ET_D
222366,360ET_D
222372,NA
222373,NA
222434,114ET_D
222541,121ET_D
222542,122ET_D
222554,123ET_D
222816b,264ET_B
222854,415ET_D
222859,140ET_D
226157,NA
226535,NA
227056b,272ET_D
227061,155ET_B
227542,156ET_D
228753,414ET_D
228862,160ET_D
236269,167ET_D
236276,168ET_D
236278,169ET_D
236308,NA
238119,183ET_B
238492a,188ET_B
238537,NA
238573,326ET_D
5588,003ET_D
5622,NA
5634,005ET_D
5684,NA
6856b,336ET_D
6891,NA
8034,NA
8175,NA
8208,014ET_D
asassa,341ET_D
hitosa,390ET_D
ude,344ET_D
