genotype,season,pow_rank,pow_gy
003ET_D,all,0.012012485117790473,0.024356303841417747
005ET_D,all,0.012178802668952956,0.02597178248090492
014ET_D,all,0.00990732350750724,0.022383526132486554
019ET_D,all,0.029407995685386098,0.010694225699157386
022ET_D,all,0.020852634423752965,0.018303177925036874
028ET_D,all,0.01211165685696569,0.022234996070552595
033ET_D,all,0.001453140624953265,0.09364529175487235
035ET_D,all,0.0084863668313733,0.03459891764650096
048ET_D,all,0.03422475678322861,0.01219906770425298
051ET_D,all,0.016545642865156866,0.04218868980963317
060ET_D,all,0.01255326657284576,0.036129582733079375
066ET_D,all,0.015609521257340836,0.01993581389345772
072ET_D,all,0.01646388514748486,0.026998310361000883
082ET_D,all,0.03749240701193817,0.013960819633548316
107ET_D,all,0.02019311897471217,0.024884170157371863
114ET_D,all,0.02347084404184033,0.023179477123234007
121ET_D,all,0.057570015689093715,0.012937610000462863
122ET_D,all,0.028488177715228023,0.027194807101647987
123ET_D,all,0.024298556614575372,0.022140646415775806
140ET_D,all,0.01602927573643229,0.042491856159262986
156ET_D,all,0.03720029230466852,0.022343857665848683
160ET_D,all,0.013783710133345688,0.021294383009653063
167ET_D,all,0.025801451491958848,0.0113650842787003
168ET_D,all,0.047185107194042245,0.005327651356488923
169ET_D,all,0.05713071503194273,0.008196120478390257
197ET_D,all,0.03142429888684306,0.01680571702038584
242ET_D,all,0.035024458741189826,0.01758736737022791
246ET_D,all,0.024742111034279878,0.00916253649681219
249ET_D,all,0.031271730076124014,0.02377752309033446
272ET_D,all,0.05829991790868067,0.017101411041060822
326ET_D,all,0.033293656559032755,0.022829133070003275
336ET_D,all,0.021751352518037937,0.02606188270614188
341ET_D,all,0.009259882423337746,0.011750956962670768
344ET_D,all,0.006305895700294492,0.017368975381765673
360ET_D,all,0.02611869621842574,0.013627646737008324
387ET_D,all,0.021849333824177537,0.029004739271569446
390ET_D,all,0.0030785492490584434,0.032420648270978306
414ET_D,all,0.05927349469426961,0.010615176947314401
415ET_D,all,0.03385079000311222,0.01406642616354151
441ET_D,all,0.002089397994548935,0.08490528586190765
454ET_D,all,0.011915283886070127,0.02795840417553899
003ET_D,2013,0.01773101227272181,0.029586061105955064
005ET_D,2013,0.024325727234362,0.027619748762409465
014ET_D,2013,0.0063883351780987035,0.013675390896519934
019ET_D,2013,0.005958571573726797,0.024128717970324606
022ET_D,2013,0.010639628595267443,0.009065588839404073
028ET_D,2013,0.005912188933703979,0.02354207527310873
033ET_D,2013,0.006788999097115738,0.05756554460309534
035ET_D,2013,0.01866508959885706,0.03443540867729414
048ET_D,2013,0.014899664744915081,0.010401558112319251
051ET_D,2013,0.005612592089980485,0.04590234818200354
060ET_D,2013,0.006207590396253935,0.032128783849578506
066ET_D,2013,0.007512410572438095,0.01440415794287181
072ET_D,2013,0.008944031655890996,0.017173165799609154
082ET_D,2013,0.030194766057847197,0.0031173963401769224
107ET_D,2013,0.010046498885272141,0.018791943628317005
114ET_D,2013,0.0067204040654099744,0.02545126592535879
121ET_D,2013,0.1411842304156528,0.0037080154218082
122ET_D,2013,0.008923888238000327,0.025880451101249712
123ET_D,2013,0.011299714961515593,0.017653876860750484
140ET_D,2013,0.006256520063073993,0.03399105243774496
156ET_D,2013,0.023776950305805702,0.015739931293021175
160ET_D,2013,0.004509137493904162,0.026064471100773055
167ET_D,2013,0.007793711210786038,0.01885792985188128
168ET_D,2013,0.05914925184527911,0.0011945275027333685
169ET_D,2013,0.05908944718449177,0.009990101461504485
197ET_D,2013,0.0037498138198260355,0.005618566177600736
242ET_D,2013,0.016602371404256928,0.0013284552957768467
246ET_D,2013,0.008021782474261389,0.0015914024521530784
249ET_D,2013,0.1583600749547304,0.07387826886696247
272ET_D,2013,0.13337442603244273,0.03463533180648914
326ET_D,2013,0.007987446068779958,0.010102597726741725
336ET_D,2013,0.011731210616113914,0.017644683448193657
341ET_D,2013,0.005299945161959324,0.008630454924953698
344ET_D,2013,0.023743871111825493,0.016496793656933805
360ET_D,2013,0.006487550142875395,0.01472562049934875
387ET_D,2013,0.008858850245909461,0.07436439928387263
390ET_D,2013,0.004369553713840515,0.03570753503310053
414ET_D,2013,0.07340030224994076,0.003915024665842721
415ET_D,2013,0.012681443738488523,0.08394209183852332
441ET_D,2013,0.00975292463110215,0.05221065578469908
454ET_D,2013,0.007048070963276096,0.02513860559899469
003ET_D,2014,0.010673257956876977,0.03273217430571895
005ET_D,2014,0.033750049059719615,0.02468093129072608
014ET_D,2014,0.008904155123389955,0.018629664799385073
019ET_D,2014,0.03261321435748608,0.014638768096913819
022ET_D,2014,0.020924905932573647,0.01653165151449221
028ET_D,2014,0.013388381123846075,0.03743557680813431
033ET_D,2014,0.009668090935192865,0.04090354225757441
035ET_D,2014,0.019840726289469594,0.04588286537692839
048ET_D,2014,0.028810958567921076,0.018224524654510955
051ET_D,2014,0.01679615446084817,0.03766035655176464
060ET_D,2014,0.011421449465326411,0.033027657252646496
066ET_D,2014,0.014374610422898209,0.017254512840554032
072ET_D,2014,0.014746499715951749,0.023077567590795794
082ET_D,2014,0.026541112954491596,0.0239425380347578
107ET_D,2014,0.02159571313585336,0.020086027056473253
114ET_D,2014,0.028462219935625817,0.02059803067862563
121ET_D,2014,0.0378315491621507,0.020207185133981804
122ET_D,2014,0.033633213312234206,0.022971046613169458
123ET_D,2014,0.023172493827626307,0.018278313088215942
140ET_D,2014,0.06605188945326809,0.027927223085081672
